Employee_ID,Employee_Name,Department,Position,Location,Hire_Date,Salary,Is_Active
EMP00073,Employee_73,Operations,Senior,Brasov,2024-02-10 00:00:00,24605,1
EMP00074,Employee_74,Finance,Senior,Bucharest,2023-05-23 00:00:00,44747,1
EMP00075,Employee_75,HR,Junior,Timisoara,2023-12-08 00:00:00,29826,0
EMP00076,Employee_76,Customer Service,Manager,Brasov,2023-11-12 00:00:00,14727,1
EMP00077,Employee_77,Finance,Senior,Timisoara,2023-04-11 00:00:00,36255,1
EMP00078,Employee_78,HR,Manager,Bucharest,2023-09-01 00:00:00,39528,1
EMP00079,Employee_79,Finance,Manager,Bucharest,2024-05-04 00:00:00,22524,1
EMP00080,Employee_80,Finance,Manager,Brasov,2023-01-12 00:00:00,36502,1
EMP00081,Employee_81,Sales,Intern,Bucharest,2023-08-27 00:00:00,30409,1
EMP00082,Employee_82,Marketing,Manager,Iasi,2024-07-14 00:00:00,24374,1
EMP00083,Employee_83,Customer Service,Intern,Cluj-Napoca,2023-02-11 00:00:00,14090,1
EMP00084,Employee_84,Finance,Junior,Brasov,2024-11-08 00:00:00,46119,1
EMP00085,Employee_85,Customer Service,Senior,Timisoara,2024-08-16 00:00:00,39325,1
EMP00086,Employee_86,Operations,Senior,Iasi,2024-03-04 00:00:00,36024,1
EMP00087,Employee_87,Finance,Senior,Brasov,2023-06-07 00:00:00,58236,1
EMP00088,Employee_88,IT,Senior,Bucharest,2023-08-04 00:00:00,43157,1
EMP00089,Employee_89,Marketing,Senior,Bucharest,2024-10-31 00:00:00,37922,1
EMP00090,Employee_90,IT,Senior,Bucharest,2024-04-06 00:00:00,8896,1
EMP00091,Employee_91,Customer Service,Senior,Bucharest,2023-05-14 00:00:00,48945,1
EMP00092,Employee_92,Customer Service,Junior,Timisoara,2023-03-08 00:00:00,28044,1
EMP00093,Employee_93,Marketing,Manager,Iasi,2023-01-07 00:00:00,31453,1
EMP00094,Employee_94,Customer Service,Mid-Level,Cluj-Napoca,2024-06-09 00:00:00,31561,1
EMP00095,Employee_95,IT,Intern,Timisoara,2023-03-14 00:00:00,39613,1
EMP00096,Employee_96,Finance,Mid-Level,Timisoara,2024-02-03 00:00:00,47150,1
EMP00097,Employee_97,Finance,Mid-Level,Cluj-Napoca,2024-02-09 00:00:00,36943,1
EMP00098,Employee_98,Sales,Manager,Cluj-Napoca,2024-11-05 00:00:00,34120,1
EMP00099,Employee_99,Operations,Manager,Bucharest,2024-07-31 00:00:00,30205,1
EMP00100,Employee_100,Customer Service,Manager,Timisoara,2023-05-10 00:00:00,5035,1
EMP00101,Employee_101,IT,Senior,Brasov,2024-04-10 00:00:00,23300,1
EMP00102,Employee_102,Customer Service,Junior,Cluj-Napoca,2023-07-25 00:00:00,16801,1
EMP00103,Employee_103,Customer Service,Senior,Cluj-Napoca,2023-09-23 00:00:00,49285,1
EMP00104,Employee_104,HR,Junior,Iasi,2024-06-20 00:00:00,36663,1
EMP00105,Employee_105,Sales,Junior,Brasov,2023-09-10 00:00:00,21395,1
EMP00106,Employee_106,IT,Mid-Level,Brasov,2023-10-16 00:00:00,22497,0
EMP00107,Employee_107,IT,Mid-Level,Cluj-Napoca,2023-06-13 00:00:00,22093,1
EMP00108,Employee_108,Customer Service,Junior,Bucharest,2023-04-05 00:00:00,21897,1
EMP00109,Employee_109,Sales,Junior,Iasi,2023-04-20 00:00:00,13065,0
EMP00110,Employee_110,Finance,Senior,Brasov,2023-12-02 00:00:00,11724,1
EMP00111,Employee_111,IT,Senior,Cluj-Napoca,2023-08-26 00:00:00,27297,1
EMP00112,Employee_112,Finance,Mid-Level,Brasov,2024-01-16 00:00:00,46058,1
EMP00113,Employee_113,Sales,Manager,Iasi,2024-03-11 00:00:00,20561,0
EMP00114,Employee_114,Finance,Junior,Iasi,2024-04-27 00:00:00,31311,1
EMP00115,Employee_115,Marketing,Senior,Timisoara,2023-01-25 00:00:00,38837,1
EMP00116,Employee_116,HR,Mid-Level,Cluj-Napoca,2024-10-14 00:00:00,16372,1
EMP00117,Employee_117,Logistics,Senior,Iasi,2023-04-27 00:00:00,26636,1
EMP00118,Employee_118,IT,Junior,Timisoara,2024-04-26 00:00:00,19278,1
EMP00119,Employee_119,Operations,Junior,Timisoara,2024-01-27 00:00:00,60058,1
EMP00120,Employee_120,HR,Intern,Brasov,2024-06-20 00:00:00,58761,1
EMP00121,Employee_121,Logistics,Manager,Brasov,2023-03-20 00:00:00,16380,1
EMP00122,Employee_122,Finance,Intern,Timisoara,2024-08-02 00:00:00,32629,1
EMP00123,Employee_123,IT,Mid-Level,Brasov,2023-06-22 00:00:00,45881,1
EMP00124,Employee_124,Finance,Senior,Iasi,2023-01-12 00:00:00,41116,1
EMP00125,Employee_125,Marketing,Mid-Level,Bucharest,2023-05-08 00:00:00,28023,1
EMP00126,Employee_126,Sales,Junior,Iasi,2024-08-30 00:00:00,51703,1
EMP00127,Employee_127,IT,Intern,Timisoara,2023-04-02 00:00:00,17116,1
EMP00128,Employee_128,Logistics,Intern,Timisoara,2024-10-14 00:00:00,23120,1
EMP00129,Employee_129,Logistics,Intern,Iasi,2024-06-26 00:00:00,17347,1
EMP00130,Employee_130,Marketing,Mid-Level,Brasov,2024-06-15 00:00:00,39785,1
EMP00131,Employee_131,Marketing,Junior,Brasov,2024-10-19 00:00:00,20104,1
EMP00132,Employee_132,Customer Service,Senior,Timisoara,2024-03-22 00:00:00,24695,1
EMP00133,Employee_133,IT,Senior,Cluj-Napoca,2024-01-25 00:00:00,36638,1
EMP00134,Employee_134,Finance,Mid-Level,Brasov,2024-11-02 00:00:00,38144,1
EMP00135,Employee_135,Operations,Intern,Iasi,2023-02-12 00:00:00,17093,1
EMP00136,Employee_136,Logistics,Manager,Brasov,2023-09-11 00:00:00,45630,1
EMP00137,Employee_137,Logistics,Mid-Level,Iasi,2023-05-10 00:00:00,33787,0
EMP00138,Employee_138,Marketing,Mid-Level,Timisoara,2023-03-01 00:00:00,15664,1
EMP00139,Employee_139,HR,Junior,Brasov,2024-10-24 00:00:00,13851,1
EMP00140,Employee_140,Marketing,Senior,Iasi,2024-04-11 00:00:00,26691,1
EMP00141,Employee_141,Operations,Mid-Level,Timisoara,2023-10-14 00:00:00,41153,1
EMP00142,Employee_142,Finance,Mid-Level,Cluj-Napoca,2024-05-31 00:00:00,41683,1
EMP00143,Employee_143,Finance,Intern,Iasi,2024-04-11 00:00:00,32147,1
EMP00144,Employee_144,HR,Intern,Cluj-Napoca,2023-12-11 00:00:00,27566,1
EMP00145,Employee_145,Logistics,Manager,Cluj-Napoca,2024-10-03 00:00:00,34748,1
EMP00146,Employee_146,Marketing,Junior,Bucharest,2024-01-17 00:00:00,17542,1
EMP00147,Employee_147,Customer Service,Manager,Brasov,2024-11-20 00:00:00,62536,1
EMP00148,Employee_148,Finance,Intern,Iasi,2023-09-10 00:00:00,62129,1
EMP00149,Employee_149,Operations,Senior,Cluj-Napoca,2023-02-25 00:00:00,33336,1
EMP00150,Employee_150,IT,Intern,Bucharest,2024-04-07 00:00:00,29693,1
EMP00151,Employee_151,Sales,Junior,Timisoara,2024-04-01 00:00:00,21901,1
EMP00152,Employee_152,Sales,Intern,Iasi,2023-03-24 00:00:00,35045,1
EMP00153,Employee_153,Sales,Junior,Cluj-Napoca,2023-04-09 00:00:00,19041,1
EMP00154,Employee_154,Customer Service,Junior,Brasov,2023-05-29 00:00:00,8850,1
EMP00155,Employee_155,Logistics,Junior,Bucharest,2023-11-25 00:00:00,6925,0
EMP00156,Employee_156,Marketing,Junior,Cluj-Napoca,2023-06-05 00:00:00,18038,1
EMP00157,Employee_157,HR,Junior,Brasov,2023-07-09 00:00:00,29091,1
EMP00158,Employee_158,Customer Service,Senior,Cluj-Napoca,2024-05-08 00:00:00,31761,1
EMP00159,Employee_159,Customer Service,Manager,Iasi,2023-09-20 00:00:00,21091,1
EMP00160,Employee_160,Finance,Mid-Level,Iasi,2023-03-21 00:00:00,28880,1
EMP00161,Employee_161,IT,Manager,Iasi,2024-02-04 00:00:00,23456,1
EMP00162,Employee_162,Customer Service,Junior,Bucharest,2024-08-31 00:00:00,16323,1
EMP00163,Employee_163,Operations,Senior,Iasi,2023-09-17 00:00:00,26190,1
EMP00164,Employee_164,IT,Intern,Brasov,2024-09-06 00:00:00,40396,1
EMP00165,Employee_165,Operations,Senior,Cluj-Napoca,2024-07-05 00:00:00,16697,0
EMP00166,Employee_166,Logistics,Junior,Timisoara,2023-04-11 00:00:00,16701,1
EMP00167,Employee_167,Marketing,Senior,Brasov,2023-12-25 00:00:00,15762,1
EMP00168,Employee_168,Sales,Senior,Brasov,2024-01-15 00:00:00,10216,1
EMP00169,Employee_169,Customer Service,Junior,Iasi,2023-08-09 00:00:00,21161,1
EMP00170,Employee_170,Marketing,Senior,Bucharest,2024-02-24 00:00:00,38447,1
EMP00171,Employee_171,Logistics,Mid-Level,Cluj-Napoca,2023-05-04 00:00:00,29347,1
EMP00172,Employee_172,HR,Mid-Level,Bucharest,2024-02-26 00:00:00,24720,1
EMP00173,Employee_173,HR,Senior,Cluj-Napoca,2023-08-19 00:00:00,28697,0
EMP00174,Employee_174,Logistics,Intern,Cluj-Napoca,2024-11-20 00:00:00,21068,1
EMP00175,Employee_175,Operations,Junior,Bucharest,2023-03-04 00:00:00,10158,1
EMP00176,Employee_176,Finance,Mid-Level,Brasov,2024-04-29 00:00:00,39809,1
EMP00177,Employee_177,Finance,Intern,Cluj-Napoca,2024-09-19 00:00:00,45962,0
EMP00178,Employee_178,Operations,Senior,Bucharest,2024-12-03 00:00:00,18693,1
EMP00179,Employee_179,HR,Intern,Cluj-Napoca,2024-07-27 00:00:00,24949,1
EMP00180,Employee_180,HR,Manager,Timisoara,2024-04-27 00:00:00,23897,1
EMP00181,Employee_181,Customer Service,Mid-Level,Brasov,2024-06-02 00:00:00,32069,1
EMP00182,Employee_182,HR,Senior,Iasi,2023-06-04 00:00:00,62627,1
EMP00183,Employee_183,Marketing,Junior,Cluj-Napoca,2023-04-02 00:00:00,48045,1
EMP00184,Employee_184,HR,Senior,Timisoara,2024-06-09 00:00:00,22282,1
EMP00185,Employee_185,IT,Junior,Iasi,2024-03-30 00:00:00,35286,1
EMP00186,Employee_186,Customer Service,Senior,Iasi,2024-08-20 00:00:00,50371,1
EMP00187,Employee_187,Sales,Intern,Cluj-Napoca,2024-10-06 00:00:00,32997,1
EMP00188,Employee_188,HR,Intern,Bucharest,2024-05-24 00:00:00,26840,1
EMP00189,Employee_189,Operations,Intern,Cluj-Napoca,2023-07-02 00:00:00,33624,1
EMP00190,Employee_190,Sales,Manager,Timisoara,2024-01-21 00:00:00,18927,1
EMP00191,Employee_191,Marketing,Junior,Iasi,2024-07-27 00:00:00,20361,1
EMP00192,Employee_192,Operations,Intern,Cluj-Napoca,2024-02-09 00:00:00,15803,1
EMP00193,Employee_193,Sales,Manager,Bucharest,2023-09-03 00:00:00,31368,1
EMP00194,Employee_194,Operations,Junior,Cluj-Napoca,2024-08-13 00:00:00,25192,1
EMP00195,Employee_195,Marketing,Senior,Brasov,2024-10-22 00:00:00,17826,1
EMP00196,Employee_196,Customer Service,Manager,Bucharest,2024-10-11 00:00:00,24783,1
EMP00197,Employee_197,IT,Mid-Level,Timisoara,2024-04-15 00:00:00,34030,1
EMP00198,Employee_198,Marketing,Manager,Iasi,2024-02-27 00:00:00,70077,1
EMP00199,Employee_199,Marketing,Manager,Cluj-Napoca,2023-03-06 00:00:00,44624,1
EMP00200,Employee_200,Operations,Junior,Bucharest,2023-01-13 00:00:00,8586,1
EMP00201,Employee_201,Customer Service,Senior,Brasov,2023-08-01 00:00:00,30323,1
EMP00202,Employee_202,Logistics,Mid-Level,Bucharest,2023-08-30 00:00:00,54977,1
EMP00203,Employee_203,Finance,Intern,Brasov,2024-05-07 00:00:00,13781,1
EMP00204,Employee_204,HR,Intern,Timisoara,2023-08-01 00:00:00,35446,1
EMP00205,Employee_205,HR,Manager,Iasi,2024-11-23 00:00:00,23901,1
EMP00206,Employee_206,IT,Junior,Timisoara,2023-12-04 00:00:00,47817,1
EMP00207,Employee_207,IT,Junior,Cluj-Napoca,2023-06-22 00:00:00,32930,1
EMP00208,Employee_208,HR,Intern,Bucharest,2024-11-02 00:00:00,17292,1
EMP00209,Employee_209,Finance,Mid-Level,Brasov,2023-06-13 00:00:00,24333,1
EMP00210,Employee_210,HR,Senior,Brasov,2024-04-09 00:00:00,25063,1
EMP00211,Employee_211,Logistics,Mid-Level,Bucharest,2024-05-11 00:00:00,25296,1
EMP00212,Employee_212,Finance,Senior,Bucharest,2024-11-30 00:00:00,47081,1
EMP00213,Employee_213,IT,Intern,Cluj-Napoca,2024-01-30 00:00:00,17654,1
EMP00214,Employee_214,Sales,Senior,Timisoara,2024-12-03 00:00:00,44424,1
EMP00215,Employee_215,Operations,Junior,Brasov,2023-11-04 00:00:00,23130,1
EMP00216,Employee_216,Logistics,Manager,Cluj-Napoca,2023-07-02 00:00:00,30084,0
EMP00217,Employee_217,Logistics,Manager,Timisoara,2024-09-20 00:00:00,27895,1
EMP00218,Employee_218,Customer Service,Intern,Cluj-Napoca,2024-05-24 00:00:00,26611,1
EMP00219,Employee_219,IT,Junior,Brasov,2024-12-08 00:00:00,26721,1
EMP00220,Employee_220,IT,Mid-Level,Bucharest,2024-06-29 00:00:00,55753,1
EMP00221,Employee_221,Marketing,Junior,Bucharest,2024-07-17 00:00:00,40996,1
EMP00222,Employee_222,Logistics,Manager,Timisoara,2024-09-15 00:00:00,22441,1
EMP00223,Employee_223,Marketing,Manager,Iasi,2024-08-16 00:00:00,59361,1
EMP00224,Employee_224,Marketing,Junior,Timisoara,2023-08-15 00:00:00,30864,1
EMP00225,Employee_225,Operations,Junior,Iasi,2024-03-11 00:00:00,32171,1
EMP00226,Employee_226,Marketing,Manager,Cluj-Napoca,2024-02-26 00:00:00,17700,0
EMP00227,Employee_227,Finance,Mid-Level,Cluj-Napoca,2024-07-07 00:00:00,20978,1
EMP00228,Employee_228,HR,Intern,Brasov,2023-01-21 00:00:00,19068,1
EMP00229,Employee_229,Sales,Intern,Iasi,2024-07-07 00:00:00,28086,1
EMP00230,Employee_230,IT,Junior,Brasov,2024-02-01 00:00:00,37027,1
EMP00231,Employee_231,Finance,Intern,Bucharest,2024-09-16 00:00:00,32326,1
EMP00232,Employee_232,Sales,Manager,Iasi,2023-04-15 00:00:00,59517,1
EMP00233,Employee_233,Logistics,Manager,Timisoara,2023-07-11 00:00:00,17260,1
EMP00234,Employee_234,Logistics,Junior,Bucharest,2023-01-17 00:00:00,28494,1
EMP00235,Employee_235,Logistics,Junior,Bucharest,2023-04-30 00:00:00,14165,1
EMP00236,Employee_236,Finance,Junior,Timisoara,2024-01-28 00:00:00,16968,1
EMP00237,Employee_237,Finance,Mid-Level,Bucharest,2024-02-29 00:00:00,50629,1
EMP00238,Employee_238,IT,Intern,Iasi,2023-05-09 00:00:00,21342,1
EMP00239,Employee_239,HR,Junior,Brasov,2023-05-10 00:00:00,18003,1
EMP00240,Employee_240,Customer Service,Senior,Bucharest,2024-07-25 00:00:00,9274,1
EMP00241,Employee_241,Marketing,Senior,Iasi,2024-07-13 00:00:00,17914,1
EMP00242,Employee_242,Logistics,Manager,Cluj-Napoca,2023-01-29 00:00:00,24279,1
EMP00243,Employee_243,Operations,Intern,Iasi,2023-04-07 00:00:00,13647,1
EMP00244,Employee_244,HR,Junior,Brasov,2023-01-10 00:00:00,23591,1
EMP00245,Employee_245,Operations,Senior,Iasi,2023-08-30 00:00:00,50783,1
EMP00246,Employee_246,IT,Intern,Timisoara,2023-08-20 00:00:00,18889,1
EMP00247,Employee_247,IT,Manager,Brasov,2023-10-11 00:00:00,16786,1
EMP00248,Employee_248,IT,Mid-Level,Cluj-Napoca,2024-12-15 00:00:00,15337,1
EMP00249,Employee_249,Sales,Intern,Timisoara,2024-12-26 00:00:00,15201,1
EMP00250,Employee_250,Operations,Intern,Iasi,2023-07-19 00:00:00,35164,1
